,INTPTLAT10,INTPTLON10
458,43.067472,-83.6243923
459,37.0639931,-88.2630968
460,37.2950415,-88.3993524
461,36.7657052,-88.228582
462,36.521138,-88.3337561
463,42.9669664,-83.7173591
464,36.5554213,-89.2192742
465,36.8507281,-88.6471737
466,43.0239407,-83.6047091
467,42.9818911,-83.6049529
468,42.9703379,-83.6585901
469,37.1126488,-88.877823
470,36.7144539,-88.4334566
471,43.0110682,-83.7948753
472,42.9809938,-83.7168996
473,42.9778311,-83.7235483
474,42.9758813,-83.7907344
475,36.0341723,-79.4848287
476,35.7284639,-79.786527
477,35.6382587,-79.8508662
478,35.6076129,-79.3905175
479,35.5632305,-79.5429277
480,35.3431019,-79.7534419
481,36.480967,-79.2798562
482,36.206055,-79.671126
483,36.0270987,-79.4917994
484,36.190945,-79.3801853
485,35.2656322,-79.7757333
486,36.2077199,-79.1694201
487,35.8925121,-79.70498
488,36.0920281,-80.0114425
489,35.6006596,-80.0902264
490,35.3296566,-79.6489549
491,36.0669164,-79.1981478
492,36.2153772,-79.4863698
493,35.7832957,-79.7163307
494,36.1541407,-79.5823894
495,35.5666138,-79.3497583
496,35.9661659,-79.3473611
497,36.0108018,-79.2911976
498,35.954467,-79.987882
499,35.9631296,-80.0416675
500,35.9115216,-79.9367987
501,36.0123051,-80.0309493
502,36.0901953,-79.0869286
503,35.1874423,-79.6251154
504,35.9889567,-79.928282
505,35.951474,-79.6354182
506,36.1193332,-80.0773421
507,36.4976449,-79.7500154
508,36.4183159,-79.1684283
509,35.738325,-80.2075465
510,35.8717669,-80.3101798
511,35.8851152,-79.5675454
512,35.7523237,-80.3861487
513,36.1135101,-79.6656557
514,36.1420299,-79.2661809
515,41.1876053,-83.7815852
516,41.6350441,-84.4956661
517,41.4504965,-83.9749671
518,41.691884,-84.0815567
519,41.349611,-83.926981
520,41.3072797,-84.0220343
521,41.309794,-84.6328946
522,41.5747944,-83.6867007
523,41.6928458,-83.9280254
524,41.3007553,-83.829536
525,41.5666651,-83.7650324
526,41.6064888,-84.6453462
527,41.3908844,-84.1273369
528,41.4921602,-83.8763158
